word-1 word-2 pair
16830000000 5900000000 4390000000
1330000000 4710000000 412000000
1330000000 1330000000 1070000000
14730000000 10030000000 2740000000
8190000000 2270000000 1000000000
8190000000 9300000000 2790000000
1260000000 12770000000 600000000
2400000000 12770000000 3540000000
4590000000 6880000000 374000000
2810000000 7020000000 1710000000
17950000000 7020000000 4510000000
1780000000 879000000 441000000
814000000 610000000 285000000
181000000 665000000 92400000
2410000000 1750000000 615000000
1190000000 2420000000 306000000
8160000000 1190000000 434000000
5320000000 8160000000 1060000000
5310000000 397000000 156000000
13190000000 7000000000 2470000000
7000000000 10630000000 7340000000
7000000000 11650000000 1980000000
7000000000 5700000000 641000000
7000000000 756000000 194000000
7000000000 1560000000 285000000
159000000 1560000000 45400000
7120000000 14460000000 2860000000
7000000000 13490000000 2230000000
14730000000 4930000000 1690000000
7690000000 7140000000 2360000000
8750000000 2030000000 706000000
7180000000 2240000000 1750000000
1190000000 181000000 7560000
7730000000 123000000 38500000
7730000000 2450000000 1020000000
7730000000 57500000 15500000
412000000 76500000 9090000
217000000 1220000000 190000000
217000000 349000000 24800000
806000000 5790000000 238000000
1700000000 5790000000 828000000
52900000 5760000000 31400000
5760000000 1970000000 1710000000
5760000000 1750000000 1280000000
5760000000 1770000000 1480000000
1820000000 158000000 126000000
23000000 1610000000 3950000
23000000 491000000 1670000
23000000 1480000000 3620000
6660000000 612000000 338000000
10550000000 12340000000 11040000000
10550000000 184000000 178000000
10550000000 501000000 12480000000
10550000000 2640000000 16500000000
603000000 179000000 34700000
603000000 1690000000 353000000
6930000000 1690000000 307000000
1370000000 1690000000 168000000
187000000 211000000 134000000
187000000 185000000 60700000
6040000000 13190000000 1860000000
6040000000 1840000000 320000000
5950000000 1360000000 357000000
6040000000 3400000000 973000000
9260000000 3020000000 1720000000
6040000000 3140000000 577000000
13190000000 860000000 630000000
680000000 574000000 42700000
1350000000 1090000000 80500000
7120000000 236000000 98800000
2560000000 970000000 690000000
105000000 8740000 558000
153000000 414000000 17800000
40100000 240000000 6900000
198000000 421000000 30300000
11520000000 2220000000 2070000000
3150000000 999000000 47200000
3150000000 423000000 145000000
9570000000 1750000000 331000000
2590000000 252000000 34500000
423000000 1730000000 23700000
236000000 2590000000 36200000
1350000000 13190000000 960000000
252000000 365000000 7490000
339000000 474000000 28500000
11420000000 133000000 87600000
2560000000 6630000000 1250000000
2020000000 63700000 21100000
970000000 474000000 86800000
252000000 662000000 10500000
2560000000 2020000000 323000000
236000000 414000000 5040000
235000000 10540000000 29600000
7480000000 149000000 40400000
240000000 1640000000 25500000
137000000 1090000000 3430000
7150000000 2070000000 1060000000
7150000000 2260000000 1750000000
7150000000 1040000000 2480000000
7150000000 553000000 391000000
7150000000 9230000000 2030000000
7150000000 609000000 181000000
7150000000 7660000000 5340000000
7150000000 1260000000 378000000
7150000000 248000000 153000000
7150000000 59600000 44900000
7150000000 5780000000 642000000
1330000000 756000000 81500000
1330000000 87400000 17300000
1330000000 726000000 181000000
1330000000 773000000 135000000
1330000000 10270000000 946000000
1330000000 985000000 110000000
1330000000 228000000 21500000
1330000000 764000000 114000000
954000000 228000000 81100000
954000000 335000000 218000000
948000000 1040000000 209000000
954000000 817000000 237000000
954000000 998000000 181000000
954000000 2440000000 250000000
954000000 86900000 42400000
954000000 2950000000 343000000
954000000 11240000000 909000000
904000000 8400000000 674000000
954000000 651000000 171000000
954000000 61000000 54200000
1520000000 12340000000 848000000
1520000000 127000000 29100000
1520000000 1600000000 298000000
1520000000 5540000000 421000000
1520000000 1720000000 229000000
1520000000 6850000000 998000000
1520000000 34300000 8460000
356000000 3650000000 45400000
356000000 16340000000 50700000
356000000 58800000 7910000
356000000 6570000000 135000000
356000000 11850000000 116000000
356000000 12330000000 54700000
356000000 23300000 509000
3560000000 3360000000 1630000000
3530000000 1030000000 816000000
3530000000 11330000000 1400000000
3530000000 324000000 65400000
3530000000 1710000000 210000000
3530000000 478000000 29500000
3530000000 5930000000 1290000000
3530000000 11390000000 1830000000
3530000000 470000000 72500000
3530000000 1340000000 424000000
756000000 4700000000 415000000
756000000 12770000000 688000000
3250000000 686000000 257000000
686000000 1690000000 159000000
3250000000 822000000 306000000
8130000000 824000000 334000000
1550000000 2860000000 227000000
237000000 153000000 9590000
237000000 1430000000 162000000
1430000000 1610000000 244000000
1910000000 11120000000 481000000
1910000000 607000000 44800000
18050000000 9860000000 15070000000
380000000 3590000000 187000000
25270000000 2600000000 1240000000
810000000 6860000000 457000000
11120000000 7050000 13100000
15540000000 47600000 41400000
2210000000 18050000000 1710000000
2520000000 222000000 18800000
8130000000 17390000000 4630000000
610000000 2600000000 131000000
1320000000 3590000000 640000000
3010000000 418000000 157000000
6100000000 228000000 152000000
8280000000 13790000000 2370000000
3120000000 5400000000 2090000000
7740000000 11950000000 778000000
2640000000 9300000000 703000000
879000000 201000000 16100000
153000000 447000000 34100000
2150000000 1580000000 37000000
1910000000 20120000000 1340000000
1910000000 1490000000 442000000
1320000000 287000000 21400000
1320000000 18020000000 478000000
1640000000 9450000000 545000000
1610000000 11760000000 491000000
200000000 1610000000 74000000
